Name,Platform,Year_of_Release,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,ID
Wii Sports,Nintendo Wii,2006.0,Sports,Nintendo,76.0,51.0,8.0,322.0,Nintendo,E,1
Super Mario Bros.,NES,1985.0,Platform,Nintendo,,,,,,,2
Mario Kart Wii,Nintendo Wii,2008.0,Racing,Nintendo,82.0,73.0,8.3,709.0,Nintendo,E,3
Wii Sports Resort,Nintendo Wii,2009.0,Sports,Nintendo,80.0,73.0,8.0,192.0,Nintendo,E,4
Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,,,,,,,5
Tetris,GB,1989.0,Puzzle,Nintendo,,,,,,,6
New Super Mario Bros.,Nintendo DS,2006.0,Platform,Nintendo,89.0,65.0,8.5,431.0,Nintendo,E,7
Wii Play,Nintendo Wii,2006.0,Misc,Nintendo,58.0,41.0,6.6,129.0,Nintendo,E,8
New Super Mario Bros. Wii,Nintendo Wii,2009.0,Platform,Nintendo,87.0,80.0,8.4,594.0,Nintendo,E,9
Duck Hunt,NES,1984.0,Shooter,Nintendo,,,,,,,10
Nintendogs,Nintendo DS,2005.0,Simulation,Nintendo,,,,,,,11
Mario Kart DS,Nintendo DS,2005.0,Racing,Nintendo,91.0,64.0,8.6,464.0,Nintendo,E,12
Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,,,,,,,13
Wii Fit,Nintendo Wii,2007.0,Sports,Nintendo,80.0,63.0,7.7,146.0,Nintendo,E,14
Kinect Adventures!,Xbox360,2010.0,Misc,Microsoft Game Studios,61.0,45.0,6.3,106.0,Good Science Studio,E,15
Wii Fit Plus,Nintendo Wii,2009.0,Sports,Nintendo,80.0,33.0,7.4,52.0,Nintendo,E,16
Grand Theft Auto V,Sony PS3,2013.0,Action,Take-Two Interactive,97.0,50.0,8.2,3994.0,Rockstar North,M,17
Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,95.0,80.0,9.0,1588.0,Rockstar North,M,18
Super Mario World,SNES,1990.0,Platform,Nintendo,,,,,,,19
Brain Age: Train Your Brain in Minutes a Day,Nintendo DS,2005.0,Misc,Nintendo,77.0,58.0,7.9,50.0,Nintendo,E,20
Pokemon Diamond/Pokemon Pearl,Nintendo DS,2006.0,Role-Playing,Nintendo,,,,,,,21
Super Mario Land,GB,1989.0,Platform,Nintendo,,,,,,,22
Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,,,,,,,23
Grand Theft Auto V,Xbox360,2013.0,Action,Take-Two Interactive,97.0,58.0,8.1,3711.0,Rockstar North,M,24
Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,95.0,62.0,8.7,730.0,Rockstar North,M,25
Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,,,,,,,26
Brain Age 2: More Training in Minutes a Day,Nintendo DS,2005.0,Puzzle,Nintendo,77.0,37.0,7.1,19.0,Nintendo,E,27
Pokemon Black/Pokemon White,Nintendo DS,2010.0,Role-Playing,Nintendo,,,,,,,28
Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,95.0,54.0,8.4,314.0,Polyphony Digital,E,29
Call of Duty: Modern Warfare 3,Xbox360,2011.0,Shooter,Activision,88.0,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games",M,30
Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,,,,,,,31
Call of Duty: Black Ops 3,Sony PS4,2015.0,Shooter,Activision,,,,,,,32
Call of Duty: Black Ops,Xbox360,2010.0,Shooter,Activision,87.0,89.0,6.3,1454.0,Treyarch,M,33
Pokemon X/Pokemon Y,Nintendo 3DS,2013.0,Role-Playing,Nintendo,,,,,,,34
Call of Duty: Black Ops II,Sony PS3,2012.0,Shooter,Activision,83.0,21.0,5.3,922.0,Treyarch,M,35
Call of Duty: Black Ops II,Xbox360,2012.0,Shooter,Activision,83.0,73.0,4.8,2256.0,Treyarch,M,36
Call of Duty: Modern Warfare 2,Xbox360,2009.0,Shooter,Activision,94.0,100.0,6.3,2698.0,Infinity Ward,M,37
Call of Duty: Modern Warfare 3,Sony PS3,2011.0,Shooter,Activision,88.0,39.0,3.2,5234.0,"Infinity Ward, Sledgehammer Games",M,38
Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,97.0,56.0,8.5,664.0,DMA Design,M,39
Super Smash Bros. Brawl,Nintendo Wii,2008.0,Fighting,Nintendo,93.0,81.0,8.9,1662.0,Game Arts,T,40
Mario Kart 7,Nintendo 3DS,2011.0,Racing,Nintendo,85.0,73.0,8.2,632.0,"Retro Studios, Entertainment Analysis & Development Division",E,41
Call of Duty: Black Ops,Sony PS3,2010.0,Shooter,Activision,88.0,58.0,6.4,1094.0,Treyarch,M,42
Grand Theft Auto V,Sony PS4,2014.0,Action,Take-Two Interactive,97.0,66.0,8.3,2899.0,Rockstar North,M,43
Animal Crossing: Wild World,Nintendo DS,2005.0,Simulation,Nintendo,86.0,57.0,8.7,242.0,Nintendo,E,44
Halo 3,Xbox360,2007.0,Shooter,Microsoft Game Studios,94.0,86.0,7.8,4100.0,"Bungie Software, Bungie",M,45
Super Mario 64,N64,1996.0,Platform,Nintendo,,,,,,,46
Pokemon HeartGold/Pokemon SoulSilver,Nintendo DS,2009.0,Action,Nintendo,,,,,,,47
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Nintendo 3DS,2014.0,Role-Playing,Nintendo,,,,,,,48
Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,89.0,74.0,8.5,272.0,Polyphony Digital,E,49
Super Mario Galaxy,Nintendo Wii,2007.0,Platform,Nintendo,97.0,73.0,8.9,2147.0,Nintendo,E,50
Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,,,,,,,51
Grand Theft Auto IV,Xbox360,2008.0,Action,Take-Two Interactive,98.0,86.0,7.9,2951.0,Rockstar North,M,52
Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,96.0,16.0,8.7,138.0,Polyphony Digital,E,53
Super Mario 3D Land,Nintendo 3DS,2011.0,Platform,Nintendo,90.0,82.0,8.4,921.0,Nintendo,E,54
Gran Turismo 5,Sony PS3,2010.0,Racing,Sony Computer Entertainment,84.0,82.0,7.5,1112.0,Polyphony Digital,E,55
Call of Duty: Modern Warfare 2,Sony PS3,2009.0,Shooter,Activision,94.0,67.0,6.3,2073.0,Infinity Ward,M,56
Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,,,,,,,57
Grand Theft Auto IV,Sony PS3,2008.0,Action,Take-Two Interactive,98.0,64.0,7.5,2833.0,Rockstar North,M,58
Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,,,,,,,59
Super Mario 64,Nintendo DS,2004.0,Platform,Nintendo,,,,,,,60
Call of Duty: Ghosts,Xbox360,2013.0,Shooter,Activision,73.0,29.0,2.6,2117.0,Infinity Ward,M,61
Just Dance 3,Nintendo Wii,2011.0,Misc,Ubisoft,74.0,15.0,7.8,16.0,Ubisoft,E10+,62
New Super Mario Bros. 2,Nintendo 3DS,2012.0,Platform,Nintendo,78.0,70.0,7.2,424.0,Nintendo,E,63
Mario Kart 64,N64,1996.0,Racing,Nintendo,,,,,,,64
Halo: Reach,Xbox360,2010.0,Shooter,Microsoft Game Studios,91.0,99.0,7.9,2045.0,Bungie,M,65
Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,92.0,20.0,9.2,1282.0,SquareSoft,T,66
Halo 4,Xbox360,2012.0,Shooter,Microsoft Game Studios,87.0,87.0,7.0,3260.0,343 Industries,M,67
Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,93.0,23.0,9.0,135.0,Polyphony Digital,T,68
Just Dance 2,Nintendo Wii,2010.0,Misc,Ubisoft,74.0,24.0,7.3,24.0,Ubisoft,E10+,69
Call of Duty: Ghosts,Sony PS3,2013.0,Shooter,Activision,71.0,10.0,2.6,1047.0,Infinity Ward,M,70
Call of Duty 4: Modern Warfare,Xbox360,2007.0,Shooter,Activision,94.0,70.0,8.4,1320.0,Infinity Ward,M,71
Donkey Kong Country,SNES,1994.0,Platform,Nintendo,,,,,,,72
Minecraft,Xbox360,2013.0,Misc,Microsoft Game Studios,,,,,,,73
Animal Crossing: New Leaf,Nintendo 3DS,2012.0,Simulation,Nintendo,88.0,70.0,8.7,626.0,Nintendo,E,74
Mario Party DS,Nintendo DS,2007.0,Misc,Nintendo,72.0,27.0,7.8,85.0,Hudson Soft,E,75
The Elder Scrolls V: Skyrim,Xbox360,2011.0,Role-Playing,Bethesda Softworks,96.0,89.0,8.4,3589.0,Bethesda Game Studios,M,76
Super Mario Kart,SNES,1992.0,Racing,Nintendo,,,,,,,77
FIFA 16,Sony PS4,2015.0,Sports,Electronic Arts,82.0,42.0,4.3,896.0,EA Sports,E,78
Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,95.0,91.0,8.2,1218.0,Bungie Software,M,79
Wii Party,Nintendo Wii,2010.0,Misc,Nintendo,68.0,42.0,7.4,54.0,Nd Cube,E,80
Mario Party 8,Nintendo Wii,2007.0,Misc,Nintendo,62.0,41.0,6.3,190.0,Hudson,E,81
FIFA Soccer 13,Sony PS3,2012.0,Action,Electronic Arts,88.0,37.0,6.6,348.0,Electronic Arts,E,82
GoldenEye 007,N64,1997.0,Shooter,Nintendo,,,,,,,83
Pokemon Black 2/Pokemon White 2,Nintendo DS,2012.0,Role-Playing,Nintendo,,,,,,,84
Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,92.0,53.0,8.7,1056.0,SquareSoft,T,85
The Sims 3,PC,2009.0,Simulation,Electronic Arts,86.0,75.0,7.6,886.0,The Sims Studio,T,86
Mario & Sonic at the Olympic Games,Nintendo Wii,2007.0,Sports,Sega,,,,,,,87
Star Wars Battlefront (2015),Sony PS4,2015.0,Shooter,Electronic Arts,,,,,,,88
Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,90.0,24.0,8.6,644.0,SquareSoft,T,89
Pac-Man,Atari 2600,1982.0,Puzzle,Atari,,,,,,,90
Pokémon Platinum Version,Nintendo DS,2008.0,Role-Playing,Nintendo,83.0,46.0,8.5,203.0,Game Freak,E,91
Grand Theft Auto: Liberty City Stories,Sony PSP,2005.0,Action,Take-Two Interactive,88.0,65.0,7.6,451.0,Rockstar Leeds,M,92
Call of Duty: Advanced Warfare,Sony PS4,2014.0,Shooter,Activision,83.0,39.0,5.7,1443.0,Sledgehammer Games,M,93
The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,,,,,,,94
FIFA 17,Sony PS4,2016.0,Sports,Electronic Arts,85.0,41.0,5.0,398.0,"EA Sports, EA Vancouver",E,95
Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,,,,,,,96
Super Smash Bros. for Wii U and 3DS,Nintendo 3DS,2014.0,Fighting,Nintendo,,,,,,,97
Super Mario Galaxy 2,Nintendo Wii,2010.0,Platform,Nintendo,97.0,87.0,9.1,1854.0,Nintendo EAD Tokyo,E,98
Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,,,,,,,99
Call of Duty: Black Ops 3,Xbox One,2015.0,Shooter,Activision,,,,,,,100
Call of Duty: World at War,Xbox360,2008.0,Shooter,Activision,84.0,84.0,7.6,580.0,Treyarch,M,101
Battlefield 3,Xbox360,2011.0,Shooter,Electronic Arts,84.0,57.0,7.4,2142.0,EA DICE,M,102
Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,85.0,33.0,8.6,171.0,EA Black Box,E,103
Just Dance,Nintendo Wii,2009.0,Misc,Ubisoft,49.0,21.0,8.0,110.0,Ubisoft Paris,E10+,104
Battlefield 3,Sony PS3,2011.0,Shooter,Electronic Arts,85.0,38.0,7.5,1761.0,EA DICE,M,105
Fallout 4,Sony PS4,2015.0,Role-Playing,Bethesda Softworks,87.0,58.0,6.5,4228.0,Bethesda Game Studios,M,106
Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,96.0,15.0,9.1,367.0,Namco,T,107
The Legend of Zelda: Twilight Princess,Nintendo Wii,2006.0,Action,Nintendo,95.0,73.0,9.0,1658.0,Nintendo,T,108
Pokemon Sun/Moon,Nintendo 3DS,2016.0,Role-Playing,Nintendo,,,,,,,109
Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,91.0,12.0,8.9,432.0,Naughty Dog,E,110
Mario Kart 8,Nintendo Wii U,2014.0,Racing,Nintendo,88.0,82.0,9.1,1599.0,Nintendo,E,111
Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,92.0,38.0,9.1,568.0,HAL Labs,T,112
Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,,,,,,,113
Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,82.0,39.0,8.6,132.0,EA Canada,E,114
Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,88.0,29.0,8.5,135.0,EA LA,T,115
Crash Bandicoot,PS,1996.0,Platform,Sony Computer Entertainment,,,,,,,116
Just Dance 4,Nintendo Wii,2012.0,Misc,Ubisoft,74.0,10.0,7.3,28.0,Ubisoft,E10+,117
Gears of War 2,Xbox360,2008.0,Shooter,Microsoft Game Studios,93.0,90.0,7.7,2739.0,Epic Games,M,118
Uncharted 3: Drake's Deception,Sony PS3,2011.0,Action,Sony Computer Entertainment,92.0,97.0,8.3,3712.0,Naughty Dog,T,119
Zumba Fitness,Nintendo Wii,2010.0,Sports,505 Games,,,,,"Pipeworks Software, Inc.",E,120
Call of Duty 4: Modern Warfare,Sony PS3,2007.0,Shooter,Activision,94.0,44.0,8.4,993.0,Infinity Ward,M,121
Uncharted 2: Among Thieves,Sony PS3,2009.0,Action,Sony Computer Entertainment,96.0,105.0,8.8,5187.0,Naughty Dog,T,122
FIFA 12,Sony PS3,2011.0,Sports,Electronic Arts,,,,,,,123
Big Brain Academy,Nintendo DS,2005.0,Misc,Nintendo,74.0,45.0,7.4,27.0,Nintendo,E,124
The Legend of Zelda,NES,1986.0,Action,Nintendo,,,,,,,125
Red Dead Redemption,Sony PS3,2010.0,Action,Take-Two Interactive,95.0,73.0,8.8,2456.0,Rockstar San Diego,M,126
FIFA 14,Sony PS3,2013.0,Sports,Electronic Arts,86.0,37.0,4.3,576.0,EA Canada,E,127
Assassin's Creed III,Sony PS3,2012.0,Action,Ubisoft,85.0,41.0,6.9,1307.0,Ubisoft,M,128
Donkey Kong Country Returns,Nintendo Wii,2010.0,Platform,Nintendo,87.0,77.0,8.6,368.0,Retro Studios,E,129
Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,97.0,68.0,8.6,1283.0,Bungie Software,M,130
The Elder Scrolls V: Skyrim,Sony PS3,2011.0,Role-Playing,Bethesda Softworks,92.0,16.0,6.4,2527.0,Bethesda Game Studios,M,131
Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,76.0,28.0,9.0,222.0,Game Freak,E,132
Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,85.0,46.0,8.8,597.0,SquareSoft,E,133
Pokémon Crystal Version,GB,2000.0,Role-Playing,Nintendo,,,,,,,134
Halo 3: ODST,Xbox360,2009.0,Shooter,Microsoft Game Studios,83.0,94.0,7.1,1163.0,"Bungie Software, Bungie",M,135
Red Dead Redemption,Xbox360,2010.0,Action,Take-Two Interactive,95.0,96.0,9.0,2316.0,Rockstar San Diego,M,136
Super Mario Sunshine,GC,2002.0,Platform,Nintendo,92.0,61.0,8.6,439.0,Nintendo,E,137
Street Fighter II: The World Warrior,SNES,1992.0,Fighting,Capcom,,,,,,,138
World of Warcraft,PC,2004.0,Role-Playing,Activision,93.0,57.0,7.3,2182.0,Blizzard Entertainment,T,139
Driver,PS,1999.0,Action,GT Interactive,87.0,22.0,8.1,78.0,Reflections Interactive,T,140
Gears of War 3,Xbox360,2011.0,Shooter,Microsoft Game Studios,91.0,96.0,7.8,1504.0,Epic Games,M,141
Kinect Sports,Xbox360,2010.0,Sports,Microsoft Game Studios,73.0,51.0,7.4,95.0,Rare Ltd.,E10+,142
Gears of War,Xbox360,2006.0,Shooter,Microsoft Game Studios,94.0,88.0,8.3,2295.0,Epic Games,M,143
FIFA 15,Sony PS4,2014.0,Sports,Electronic Arts,82.0,47.0,5.7,988.0,EA Sports,E,144
Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,96.0,42.0,8.7,1026.0,KCEJ,M,145
Sonic the Hedgehog 2,GEN,1992.0,Platform,Sega,,,,,,,146
Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,94.0,20.0,9.4,918.0,KCEJ,M,147
Metal Gear Solid 4: Guns of the Patriots,Sony PS3,2008.0,Action,Konami Digital Entertainment,94.0,82.0,8.7,3558.0,Kojima Productions,M,148
Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,92.0,64.0,7.6,972.0,Square Enix,T,149
The Last of Us,Sony PS3,2013.0,Action,Sony Computer Entertainment Europe,95.0,98.0,9.1,8003.0,Naughty Dog,M,150
LittleBigPlanet,Sony PS3,2008.0,Platform,Sony Computer Entertainment,95.0,85.0,6.8,5311.0,"SCE/WWS, Media Molecule",E,151
Resident Evil 2,PS,1998.0,Action,Virgin Interactive,89.0,13.0,9.2,364.0,Capcom,M,152
Dragon Quest IX: Sentinels of the Starry Skies,Nintendo DS,2009.0,Role-Playing,Nintendo,87.0,65.0,8.8,197.0,Level 5,E10+,153
Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,89.0,8.0,8.9,102.0,Namco,T,154
Destiny,Sony PS4,2014.0,Shooter,Activision,76.0,95.0,6.1,5380.0,"Bungie Software, Bungie",T,155
LEGO Star Wars: The Complete Saga,Nintendo Wii,2007.0,Action,LucasArts,80.0,17.0,8.9,62.0,Traveller's Tales,E10+,156
Cooking Mama,Nintendo DS,2006.0,Simulation,505 Games,67.0,35.0,7.2,21.0,Taito Corporation,E,157
Tetris,NES,1988.0,Puzzle,Nintendo,,,,,,,158
Super Smash Bros.,N64,1999.0,Fighting,Nintendo,,,,,,,159
Assassin's Creed II,Sony PS3,2009.0,Action,Ubisoft,91.0,70.0,8.6,1202.0,Ubisoft Montreal,M,160
Assassin's Creed,Xbox360,2007.0,Adventure,Ubisoft,81.0,77.0,7.7,1074.0,Ubisoft Montreal,M,161
Forza Motorsport 3,Xbox360,2009.0,Racing,Microsoft Game Studios,92.0,90.0,8.0,516.0,Turn 10,E,162
Super Mario Advance,GBA,2001.0,Platform,Nintendo,84.0,19.0,7.8,41.0,Nintendo,E,163
Monster Hunter Freedom Unite,Sony PSP,2008.0,Role-Playing,Capcom,81.0,48.0,8.7,124.0,Capcom,T,164
Batman: Arkham City,Sony PS3,2011.0,Action,Warner Bros. Interactive Entertainment,96.0,42.0,8.6,2162.0,Rocksteady Studios,T,165
Grand Theft Auto V,Xbox One,2014.0,Action,Take-Two Interactive,97.0,14.0,7.9,764.0,Rockstar North,M,166
Mario Kart: Super Circuit,GBA,2001.0,Racing,Nintendo,93.0,24.0,8.3,108.0,Intelligent Systems,E,167
Super Mario World,GBA,2001.0,Platform,Nintendo,,,,,,,168
Pokemon Stadium,N64,1999.0,Strategy,Nintendo,,,,,,,169
Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,Universal Interactive,66.0,22.0,7.1,156.0,Traveller's Tales,E,170
Call of Duty: World at War,Sony PS3,2008.0,Shooter,Activision,85.0,45.0,7.6,409.0,Treyarch,M,171
Uncharted 4: A Thief's End,Sony PS4,2016.0,Shooter,Sony Computer Entertainment,93.0,113.0,7.9,7064.0,Naughty Dog,T,172
Dr. Mario,GB,1989.0,Puzzle,Nintendo,,,,,,,173
Final Fantasy XIII,Sony PS3,2009.0,Role-Playing,Square Enix,83.0,83.0,7.3,2483.0,Square Enix,T,174
Pokemon Pinball,GB,1999.0,Misc,Nintendo,,,,,,,175
Final Fantasy IX,PS,2000.0,Role-Playing,SquareSoft,94.0,22.0,8.9,779.0,SquareSoft,T,176
Assassin's Creed III,Xbox360,2012.0,Action,Ubisoft,84.0,61.0,6.7,1196.0,Ubisoft,M,177
Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts,85.0,45.0,6.6,400.0,SquareSoft,T,178
Donkey Kong 64,N64,1999.0,Platform,Nintendo,,,,,,,179
Call of Duty: Advanced Warfare,Xbox One,2014.0,Shooter,Activision,81.0,53.0,5.4,898.0,Sledgehammer Games,M,180
Minecraft,Sony PS3,2014.0,Misc,Sony Computer Entertainment,,,,,,,181
Assassin's Creed II,Xbox360,2009.0,Action,Ubisoft,90.0,82.0,8.8,1305.0,Ubisoft Montreal,M,182
Tomb Raider II,PS,1997.0,Action,Eidos Interactive,85.0,13.0,,,Core Design Ltd.,T,183
Madden NFL 2004,PS2,,Sports,Electronic Arts,94.0,29.0,8.5,140.0,EA Tiburon,E,184
Tomodachi Life,Nintendo 3DS,2013.0,Simulation,Nintendo,,,,,,,185
New Super Mario Bros. U,Nintendo Wii U,2012.0,Platform,Nintendo,84.0,70.0,8.1,733.0,Nintendo,E,186
Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,Square Enix,89.0,63.0,8.8,245.0,Level 5,T,187
Super Mario Bros. 3,GBA,2003.0,Platform,Nintendo,,,,,,,188
Professor Layton and the Curious Village,Nintendo DS,2007.0,Puzzle,Nintendo,85.0,72.0,8.6,147.0,Level 5,E,189
Super Mario Land 3: Wario Land,GB,1994.0,Platform,Nintendo,,,,,,,190
FIFA Soccer 13,Xbox360,2012.0,Action,Electronic Arts,90.0,48.0,6.1,403.0,Electronic Arts,E,191
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995.0,Platform,Nintendo,,,,,,,192
Diablo III,PC,2012.0,Role-Playing,Activision,88.0,86.0,4.0,9629.0,Blizzard Entertainment,M,193
