Year_of_Release,Genre,Sales
1980.0,Action,0.68
1980.0,Fighting,0.1
1980.0,Misc,5.4
1980.0,Shooter,9.02
1980.0,Sports,1.0
1981.0,Action,27.92
1981.0,Platform,11.120000000000001
1981.0,Puzzle,4.48
1981.0,Racing,0.96
1981.0,Shooter,20.04
1981.0,Simulation,0.88
1981.0,Sports,1.54
1982.0,Action,11.98
1982.0,Misc,1.7400000000000002
1982.0,Platform,10.040000000000001
1982.0,Puzzle,19.92
1982.0,Racing,3.1400000000000006
1982.0,Shooter,7.6000000000000005
1982.0,Sports,2.12
1983.0,Action,5.12
1983.0,Adventure,0.8
1983.0,Misc,4.279999999999999
1983.0,Platform,13.58
1983.0,Puzzle,1.56
1983.0,Shooter,0.98
1983.0,Sports,6.4
1984.0,Action,3.7
1984.0,Misc,2.9
1984.0,Platform,1.38
1984.0,Puzzle,6.28
1984.0,Racing,10.940000000000001
1984.0,Shooter,62.16
1984.0,Sports,12.34
1985.0,Action,7.04
1985.0,Fighting,2.1
1985.0,Platform,86.34
1985.0,Puzzle,6.3
1985.0,Shooter,2.0
1985.0,Simulation,0.08
1985.0,Sports,3.92
1986.0,Action,27.419999999999998
1986.0,Platform,18.78
1986.0,Racing,1.6600000000000001
1986.0,Role-Playing,5.04
1986.0,Shooter,7.74
1986.0,Sports,10.459999999999999
1987.0,Action,2.18
1987.0,Adventure,8.76
1987.0,Fighting,6.779999999999999
1987.0,Platform,3.48
1987.0,Role-Playing,9.3
1987.0,Shooter,1.38
1987.0,Sports,7.18
1988.0,Action,3.48
1988.0,Platform,54.28
1988.0,Puzzle,11.16
1988.0,Racing,4.28
1988.0,Role-Playing,11.76
1988.0,Shooter,1.02
1988.0,Simulation,0.06
1988.0,Sports,7.2
1989.0,Action,9.3
1989.0,Misc,2.56
1989.0,Platform,39.42
1989.0,Puzzle,68.82
1989.0,Role-Playing,4.4
1989.0,Shooter,1.58
1989.0,Sports,11.38
1990.0,Action,12.780000000000001
1990.0,Platform,44.6
1990.0,Puzzle,11.98
1990.0,Racing,12.5
1990.0,Role-Playing,9.04
1990.0,Simulation,2.26
1990.0,Sports,4.220000000000001
1991.0,Action,13.520000000000001
1991.0,Adventure,4.48
1991.0,Fighting,0.78
1991.0,Misc,0.16
1991.0,Platform,15.16
1991.0,Puzzle,5.08
1991.0,Racing,2.28
1991.0,Role-Playing,6.5200000000000005
1991.0,Shooter,3.98
1991.0,Simulation,4.3
1991.0,Sports,4.78
1991.0,Strategy,1.88
1992.0,Action,7.68
1992.0,Adventure,24.499999999999996
1992.0,Fighting,25.42
1992.0,Misc,9.879999999999999
1992.0,Platform,26.68
1992.0,Puzzle,9.68
1992.0,Racing,18.099999999999998
1992.0,Role-Playing,13.719999999999999
1992.0,Shooter,0.56
1992.0,Simulation,4.08
1992.0,Sports,5.8
1992.0,Strategy,0.74
1993.0,Action,3.62
1993.0,Adventure,0.14
1993.0,Fighting,17.5
1993.0,Misc,0.6
1993.0,Platform,37.36
1993.0,Puzzle,6.32
1993.0,Racing,0.72
1993.0,Role-Playing,11.18
1993.0,Shooter,6.16
1993.0,Simulation,0.38
1993.0,Sports,6.36
1993.0,Strategy,1.62
1994.0,Action,3.0999999999999996
1994.0,Adventure,7.48
1994.0,Fighting,16.32
1994.0,Misc,5.72
1994.0,Platform,57.42
1994.0,Puzzle,3.06
1994.0,Racing,4.36
1994.0,Role-Playing,14.26
1994.0,Shooter,14.26
1994.0,Simulation,5.44
1994.0,Sports,16.82
1994.0,Strategy,7.140000000000001
1995.0,Action,7.16
1995.0,Adventure,1.4000000000000001
1995.0,Fighting,28.2
1995.0,Misc,12.56
1995.0,Platform,32.160000000000004
1995.0,Puzzle,5.34
1995.0,Racing,11.0
1995.0,Role-Playing,28.0
1995.0,Shooter,8.2
1995.0,Simulation,8.24
1995.0,Sports,15.14
1995.0,Strategy,12.98
1996.0,Action,41.18
1996.0,Adventure,8.22
1996.0,Fighting,35.96
1996.0,Misc,20.48
